 ,Area,Mean,Min,Max
186,9,16106.333,9542,23346
187,7,24517.857,18523,31482
188,9,20508.111,17506,26295
189,8,28054.000,18661,36511
190,8,17499.625,10517,27597
191,8,18759.125,14498,24727
192,8,18623.875,13509,26483
193,8,21769.625,15137,25507
194,8,7914.375,4622,9965
195,9,26747.889,19073,36092
196,9,24002.889,15743,31629
197,8,23761.000,15356,35287
198,9,22946.333,12658,30273
199,8,21476.625,13264,28756
200,8,24790.125,17181,38245
201,7,18003.714,10041,25731
202,8,28435.375,21595,34279
203,8,22138.250,15693,31231
204,9,23119.778,14521,35212
205,9,21035.556,9105,40745
206,9,22159.556,12197,33700
207,8,11689.375,3566,17734
208,8,11505.000,7708,18014
209,6,13220.500,7223,22072
210,7,9784.857,3403,15955
211,7,16964.286,13672,23448
212,8,11128.250,4276,21574
213,8,16005.375,5372,28231
214,9,10383.000,5786,17702
215,7,20901.714,17067,27495
216,10,13539.800,7470,21990
217,8,11891.750,6973,18524
218,9,17997.222,10868,26562
219,7,23992.000,17962,31187
220,7,23211.000,17436,30253
221,8,18621.375,12782,27110
222,8,15175.250,11819,22878
223,9,19877.444,14931,26355
224,9,17836.444,9095,31157
225,8,19149.375,13633,24363
226,9,12481.222,5531,24517
227,10,15798.000,11595,18541
228,9,27219.000,19542,35341
229,7,15107.571,11386,18662
230,9,13740.000,7668,17868
231,10,23067.600,16073,30456
232,7,18794.429,13362,26816
233,8,14997.250,7915,24512
234,9,16445.000,10650,25280
235,8,29959.125,24780,37736
236,9,17113.111,10617,24443
237,8,21010.750,15857,26190
238,8,15207.125,11901,20604
239,8,19965.375,16340,26324
240,9,21388.556,16051,28600
241,8,12035.875,7877,18864
242,8,16715.875,14139,21017
243,7,13946.000,8838,18081
244,8,19060.500,11134,25659
245,9,19527.889,13792,25489
246,8,23027.125,18179,28214
247,9,21153.889,15816,25122
248,8,19143.875,11962,23915
249,9,23924.111,18489,28831
250,9,25107.667,14105,42133
251,8,19408.500,10401,30671
252,9,33557.556,27229,40133
253,8,23890.750,16520,36050
254,7,17431.429,13292,20982
255,8,16084.750,10949,21455
256,10,15701.400,9660,20596
257,9,19496.444,15454,28058
258,8,27655.250,20537,38166
259,9,16497.889,8913,25143
260,9,30424.889,24742,41249
261,7,13530.571,8044,18778
262,9,20801.333,16152,26410
263,9,28594.889,15949,50120
264,8,20057.500,15732,24276
265,9,30499.111,25793,35351
266,8,19049.500,13834,22518
267,9,17232.333,11560,24815
268,9,23236.889,15284,29348
269,7,16701.714,12593,23868
270,8,19598.500,12620,27035
271,7,19935.714,17215,23025
272,9,21387.222,12862,30333
273,8,34054.250,25978,41032
274,9,20498.222,14562,27648
275,8,22561.875,13161,35661
276,9,21785.556,13377,28144
277,8,30536.250,26043,36281
278,7,28202.286,16035,34483
279,7,19505.857,9008,30676
280,8,33650.375,27757,46175
281,7,18680.714,8108,25951
282,9,34344.000,29840,41230
283,8,29228.625,22987,36455
284,7,23444.143,19557,27898
285,9,17759.111,10956,27045
286,9,21992.333,12868,35873
287,7,21788.429,16475,27024
288,9,20685.222,13104,33486
289,9,23375.222,16342,26851
290,9,16862.778,8640,31175
291,7,17443.143,9238,30079
292,7,19105.143,14031,24520
293,10,17982.400,11559,25751
294,8,15379.000,9662,18556
295,9,14592.111,6421,20643
296,8,11939.250,6826,20680
297,9,14328.111,9732,21619
