 ,Area,Mean,Min,Max
186,8,8278.375,5255,14290
187,8,14308.375,8774,21378
188,7,9209.286,4377,14974
189,9,17979.556,9580,27423
190,7,23743.286,13140,35726
191,8,23628.625,16998,35224
192,8,18537.500,6490,26995
193,7,20392.714,12932,27932
194,9,7369.889,3685,14588
195,9,13770.778,11156,17329
196,9,23690.444,16608,34527
197,7,14341.857,8108,23692
198,7,21115.000,13264,28688
199,8,15577.500,9328,21637
200,7,9945.286,4446,16330
201,9,27185.333,17380,35304
202,8,17041.500,11075,24308
203,9,20316.889,15007,25780
204,10,17118.100,10167,23140
205,8,12637.500,9288,15711
206,8,12736.625,8309,23292
207,8,23740.250,14575,29439
208,8,16171.125,10174,20917
209,9,15680.778,9253,25473
210,9,11012.889,6606,17351
211,8,14916.125,10238,20849
212,9,14985.889,7553,24669
213,8,10758.875,6479,19306
214,9,22326.667,13278,36397
215,7,13629.000,6691,18018
216,8,13834.625,6080,24846
217,7,31348.714,21086,36349
218,7,21510.571,14586,27523
219,8,28285.750,14395,42562
220,9,21121.000,15612,28215
221,9,20873.556,16500,23831
222,9,12733.333,9474,17386
223,8,22051.750,14100,31169
224,8,18432.500,13230,29769
225,7,18245.143,12722,28157
226,9,27703.111,18879,36592
227,7,18461.429,11997,23722
228,6,21696.833,17426,25538
229,6,11050.833,7808,17034
230,8,14049.250,10021,20857
231,7,9337.857,7051,14566
232,8,11277.750,6102,15623
233,8,11980.750,8379,15729
234,9,10604.556,5095,18263
235,10,13030.900,4376,18828
236,9,5020.222,3472,8458
237,7,17091.000,12344,22302
238,6,12138.167,8986,18185
239,7,13867.143,6930,22853
240,8,24845.125,19374,32693
241,8,20475.625,13362,26816
242,8,13312.000,7917,17758
243,6,6560.333,0,14256
244,8,18160.500,11262,26116
245,8,12529.125,8422,16126
246,8,15961.125,11339,28067
247,8,22097.000,16089,30010
248,7,22273.143,16743,28368
249,9,31232.222,21481,50120
250,8,12960.125,5846,23886
251,7,11574.571,7627,15550
252,10,21456.400,9836,33825
253,10,11061.800,5921,18414
254,9,19025.111,9363,24434
255,10,16502.000,12053,24227
256,7,17612.571,8912,23742
257,9,21532.000,12989,36050
258,8,19244.125,15233,21991
259,7,17430.857,10726,29844
260,5,3941.800,2998,4665
261,7,24899.857,17167,35043
262,9,13904.111,10221,16144
263,8,11721.375,4824,17004
264,8,26973.500,20138,32967
265,10,18817.900,12635,27079
266,8,22950.250,18508,26045
267,9,19977.778,13737,33134
268,9,30617.222,25175,36281
269,10,22586.300,14954,31281
270,9,21622.778,13759,35137
271,10,22112.400,10980,35605
272,8,8453.000,5399,12939
273,9,22112.000,15678,31175
274,9,24174.889,17998,28425
275,8,17496.125,8857,35661
276,9,23359.000,16625,29348
277,8,17618.000,12132,22686
278,10,15709.500,6964,21291
279,8,22571.750,16548,44139
280,8,19271.750,14696,22819
281,7,14177.714,9288,21191
282,9,19764.000,10102,30333
283,8,13544.500,10073,18540
284,7,22740.857,11148,31545
285,9,21451.667,14380,27078
286,9,16631.000,6531,38201
287,8,10194.875,5258,15740
288,9,24008.111,12437,37253
289,8,13942.000,6395,27231
290,6,11998.500,6658,20264
291,9,29358.778,20575,36973
292,8,17293.500,10638,27362
293,8,8090.250,6330,10915
294,9,5437.000,2973,11596
295,10,25486.900,18424,32045
296,7,12613.000,6987,24525
297,10,9779.400,5314,17204
298,8,16524.500,11569,23089
299,9,16007.778,10940,27741
300,9,17113.111,10617,24443
301,8,15448.500,10182,23276
302,9,14158.778,10169,23889
303,8,12603.500,8313,16263
304,9,8400.444,6373,10512
305,9,14950.556,10346,22307
306,9,20152.444,17223,23612
307,9,4295.000,1145,7427
308,8,11694.875,6968,18954
309,8,25110.000,21155,30736
310,9,17609.000,10416,29778
311,8,26891.000,15468,43881
312,8,23152.750,16045,34369
313,7,17062.571,9364,22591
314,9,19063.333,16206,23652
315,7,21855.286,17540,27529
316,8,17061.375,11487,25281
317,7,13140.000,9291,16818
318,9,14986.000,9965,20589
319,10,11550.700,6408,22410
320,7,5899.000,4123,7889
321,7,9363.714,6075,12025
322,8,9424.750,5477,16241
323,9,22802.000,17544,30978
324,8,15438.875,10039,21256
325,8,8737.875,4952,16636
326,7,10129.714,7148,13030
327,8,14789.250,9646,21808
328,7,9474.714,6303,12459
329,10,15575.700,8121,24939
330,6,5395.500,2203,8697
331,8,4765.375,1860,8259
332,9,11379.222,7570,17690
333,9,16693.556,8772,30351
334,9,12673.444,7852,20165
335,9,15276.000,8647,21073
336,8,9234.250,2737,19501
337,10,4353.400,1289,6419
338,7,15666.571,11540,18782
339,9,9509.667,4283,17182
340,8,23392.375,18407,33180
341,8,14182.750,9460,23081
342,7,9945.429,6348,15004
343,9,17075.111,8494,25675
344,7,19167.286,13228,24331
345,8,17269.250,12312,24013
346,7,14123.143,9709,18379
347,9,25552.556,17068,31521
348,7,12628.000,7220,16761
349,8,21150.000,15406,25129
350,8,14384.375,11363,18049
351,8,18039.000,10118,22262
352,10,18199.100,12384,33273
353,9,16599.444,10386,26504
354,6,16941.500,13651,19525
355,8,16337.000,11581,23173
356,10,4039.500,1352,6732
357,9,14690.222,9124,23189
358,7,12961.429,4644,19034
359,8,7944.375,5072,12221
360,7,31376.714,22847,42266
361,8,16046.375,13410,18528
362,7,28894.000,20812,33682
363,8,23621.750,17218,30815
364,7,12571.714,9570,17773
