 ,Area,Mean,Min,Max
186,10,14799.200,9670,24135
187,8,19628.875,12648,31805
188,9,15653.000,11642,25888
189,8,12765.500,6767,16560
190,9,18722.889,11398,29273
191,9,19539.778,12071,28943
192,7,15365.714,10370,23446
193,9,13119.000,10827,16018
194,8,15810.250,11581,20165
195,9,15694.778,8008,26968
196,7,18503.143,12846,24056
197,7,17077.857,14723,21919
198,8,21435.250,11155,28195
199,9,14078.333,9630,21052
200,9,17324.222,10775,23000
201,7,13937.143,9557,18766
202,9,25341.222,18218,34478
203,8,17858.375,12830,22978
204,9,17171.778,11618,21986
205,10,15080.200,11428,20613
206,8,18769.125,11758,29126
207,9,16991.889,12243,24508
208,7,17770.286,11789,23281
209,9,18002.000,13080,27253
210,9,13836.333,8412,21204
211,8,12982.750,7303,20736
212,8,11934.500,3187,23349
213,7,15614.286,11493,21171
214,9,11738.667,0,24025
215,9,20143.222,14464,26792
216,9,15732.778,10479,21689
217,8,22779.625,16320,31438
218,10,16556.200,7753,29051
219,9,14040.444,9407,19110
220,9,25637.000,17876,33264
221,9,18359.111,8080,32187
222,9,18150.222,13385,24941
223,10,28482.900,19825,36902
224,8,23844.125,20875,27392
225,9,16896.222,11055,21827
226,9,16998.889,12158,29788
227,8,14584.750,12202,16822
228,8,13508.125,10229,22265
229,7,15042.000,8566,21121
230,7,18380.143,14114,25126
231,9,14553.556,10953,17289
232,9,21592.444,14067,27248
233,8,10849.250,4669,19024
234,9,13287.667,8949,18809
235,8,12798.250,8530,17123
236,9,13230.889,5569,18863
237,8,14692.750,10809,19112
238,8,15442.500,10178,21947
239,6,17605.333,12895,22415
240,10,16253.000,10876,22839
241,9,14697.778,9913,22158
242,8,10394.500,6512,15911
243,9,13646.333,6349,19846
244,8,12390.250,5434,17189
245,9,21823.000,14604,37128
246,6,11867.500,7249,15971
247,7,19371.714,14069,23299
248,9,29413.778,21632,40703
249,7,21922.714,12780,30394
250,9,20212.444,12232,30967
251,8,21994.750,14177,28135
252,9,19925.333,14781,27207
253,9,12729.778,9347,18474
254,9,8232.111,3957,17585
255,7,8598.143,3719,17201
256,9,20504.333,12042,29398
257,9,9700.667,6064,13397
258,9,9291.333,6413,12242
259,9,9502.444,5224,16866
260,9,10661.333,8446,12259
261,9,14111.111,7000,18958
262,10,15633.300,10711,31388
263,8,8354.375,4749,14894
264,9,8676.889,5444,12973
265,7,9003.857,5080,12679
266,8,9283.875,7525,10893
267,8,10700.000,5874,17085
268,10,7337.700,3952,14282
269,9,9512.444,5981,13125
270,8,9163.000,6631,14233
271,10,12713.900,8629,16852
272,9,11794.667,8060,15367
273,7,11072.857,6602,12862
274,7,11069.857,8779,16516
275,8,9638.875,7600,12670
276,8,9136.625,5715,13650
277,8,12543.875,8072,19644
278,9,6725.000,3028,11096
279,8,8472.375,5322,11637
280,9,9887.778,7309,14074
281,9,9995.111,5384,16078
282,8,7884.750,6453,9088
283,9,9756.333,7170,13151
284,9,9791.111,6011,19477
285,9,8092.333,5630,10030
286,8,9014.125,5058,18610
287,9,11665.889,7051,24854
288,9,9212.444,5019,13183
